Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D1,11-08-2000,Dortmund,Hansa Rostock,1,0,H,0,0,D,61000,Jörg Kessler ,17,5,7,2,0,0,7,3,25,19,4,8,1,5,0,0,10,50,1.5,3.4,5,1.45,3.5,5,,,,1.5,3.5,6,1.44,3.6,6.5,3.24,-2,1.8,2,1.85,2.07,2.1,2.11,1.84,2.04,1.14,8,15,1.18,8,13,1.25,6.1,11,1.18,8.49,17.38,1.15,8.5,17,1.17,8,18,1.25,9.1,19.25,1.17,8,15.67,1.3,3.5,1.32,3.62,1.4,3.62,1.31,3.4,-2.25,2.03,1.9,1.99,1.93,2.04,1.93,1.98,1.91,2.03,1.9,1.99,1.93,2.04,1.93,1.98,1.91
D1,12-08-2000,Bayern Munich,Hertha,4,1,H,1,0,H,57000,Markus Merk ,14,11,6,5,1,0,4,9,13,12,3,3,1,0,0,0,10,0,1.3,4.5,6,1.45,3.5,5,,,,1.4,3.75,7,1.44,3.6,6.5,2.79,-2,2.02,1.77,2.03,1.88,2.1,1.9,2.02,1.85,1.12,8,26,1.16,8,16.5,1.2,6.5,15,1.16,8.37,20.11,1.2,6.5,15,1.15,8.5,20,1.2,8.8,26,1.16,8.1,18.29,1.3,3.5,1.33,3.5,1.4,3.6,1.32,3.31,-2.25,1.92,2.01,1.92,2,1.98,2.04,1.91,1.97,1.92,2.01,1.92,2,1.98,2.04,1.91,1.97
D1,12-08-2000,Freiburg,Stuttgart,4,0,H,2,0,H,22500,Helmut Krug ,15,18,7,5,0,0,4,7,22,17,0,0,1,1,0,0,10,10,2.4,3.1,2.5,2.3,2.9,2.5,,,,2.6,3.25,2.38,2.4,3.2,2.5,1.88,-0.25,1.94,1.99,1.93,2,1.94,2.01,1.91,1.98,2.55,3.3,2.7,2.5,3.3,2.85,2.6,3.3,2.7,2.74,3.3,2.77,2.2,3.3,3.4,2.63,3.3,2.8,2.74,3.38,2.96,2.61,3.29,2.78,1.9,1.9,1.98,1.92,2.01,1.96,1.93,1.89,0,1.92,2.01,1.94,1.97,1.97,2.06,1.9,1.99,1.92,2.01,1.94,1.97,1.97,2.06,1.9,1.99
D1,12-08-2000,Hamburg,Munich 1860,2,2,D,2,2,D,35000,Herbert Fandel ,18,9,5,7,1,0,5,3,0,0,0,0,2,2,0,1,20,45,1.8,3.3,3.8,1.8,3,3.5,,,,1.75,3.3,4,1.66,3.3,4.5,3.03,-1.75,1.98,1.95,1.97,1.94,1.99,1.97,1.95,1.93,1.22,6.5,11,1.25,6.25,11,1.27,5.8,10.5,1.27,6.69,10.45,1.25,6,12,1.25,6.5,11,1.29,7.05,13,1.25,6.52,10.7,1.28,3.75,1.3,3.73,1.35,3.85,1.29,3.58,-2,2.07,1.86,2.05,1.86,2.15,1.91,2.03,1.85,2.07,1.86,2.05,1.86,2.15,1.91,2.03,1.85
D1,12-08-2000,Kaiserslautern,Bochum,0,1,A,0,0,D,38000,Helmut Fleischer ,11,5,2,2,0,0,5,5,9,8,0,0,1,0,0,0,10,0,1.5,3.4,4.6,1.45,3.5,5,,,,1.44,3.8,6,1.5,3.6,5.5,2.21,-0.75,1.99,1.94,1.99,1.93,1.99,1.95,1.96,1.92,1.66,4.2,4.5,1.7,4,4.75,1.65,4.1,5,1.7,4.15,4.9,1.7,4,4.75,1.7,4.2,4.8,1.76,4.32,5.1,1.69,4.07,4.79,1.66,2.2,1.68,2.3,1.69,2.38,1.65,2.26,-0.75,1.92,2.01,1.92,2,1.95,2.11,1.89,2,1.92,2.01,1.92,2,1.95,2.11,1.89,2
D1,12-08-2000,Leverkusen,Wolfsburg,2,0,H,2,0,H,22500,Edgar Steinborn ,18,5,5,5,0,0,6,4,25,22,0,0,0,2,0,0,0,20,1.4,4,5.5,1.55,3.3,4.5,,,,1.44,3.8,6,1.44,3.6,6.5,2.21,-0.5,1.92,2.01,1.91,2.01,1.95,2.01,1.9,1.98,2.05,3.4,3.6,2.05,3.5,3.6,2.1,3.6,3.45,2.17,3.52,3.51,1.91,3.75,3.9,2.15,3.7,3.4,2.17,3.7,4.1,2.07,3.53,3.56,1.72,2.1,1.73,2.21,1.73,2.31,1.68,2.19,-0.5,2.11,1.82,2.17,1.77,2.17,1.86,2.09,1.81,2.11,1.82,2.17,1.77,2.17,1.86,2.09,1.81
D1,12-08-2000,Werder Bremen,Cottbus,3,1,H,2,1,H,30000,Wolfgang Stark ,12,3,2,3,0,0,3,2,9,6,0,0,3,3,0,0,30,30,1.5,3.6,6,1.45,3.5,5,,,,1.4,3.75,7,1.5,3.4,6,2.04,-0.5,2.08,1.85,2.09,1.83,2.09,1.86,2.06,1.82,2.15,3.6,3.2,2.15,3.4,3.4,2,3.6,3.6,2.31,3.41,3.37,2.15,3.5,3.3,2.25,3.6,3.2,2.31,3.68,3.7,2.2,3.43,3.35,1.9,1.9,1.9,2,1.92,2.12,1.84,1.97,-0.25,1.99,1.94,1.98,1.94,2.02,2.13,1.93,1.95,1.99,1.94,1.98,1.94,2.02,2.13,1.93,1.95
D1,13-08-2000,Ein Frankfurt,Unterhaching,3,0,H,1,0,H,35000,Hartmut Strampe ,7,15,5,3,1,2,7,6,15,19,2,2,1,1,0,0,10,10,1.75,3,4.5,1.65,3.1,4,1.8,3.25,3.75,1.8,3.2,3.9,1.72,3.2,4.2,2.46,-0.25,2.04,1.89,2.04,1.88,2.06,1.91,2.02,1.86,2.05,3.75,3.3,2.2,3.75,3,2.1,3.7,3.25,2.13,3.81,3.36,2.05,3.6,3.5,2.15,3.8,3.3,2.2,3.85,3.76,2.12,3.74,3.25,1.5,2.62,1.53,2.64,1.53,2.88,1.5,2.57,-0.25,1.88,2.05,1.86,2.06,1.9,2.2,1.86,2.03,1.88,2.05,1.86,2.06,1.9,2.2,1.86,2.03
D1,13-08-2000,Schalke 04,FC Koln,2,1,H,2,0,H,62109,Hermann Albrecht ,16,10,6,3,1,0,6,5,15,26,0,0,2,3,0,0,20,30,1.95,3,3.3,1.85,2.9,3.4,1.8,3.25,3.75,1.85,3.25,3.6,1.75,3.25,4,2.13,0.75,1.98,1.95,1.98,1.93,1.99,1.97,1.96,1.92,4.5,4,1.72,4.75,4,1.7,5,3.8,1.7,4.54,4.02,1.78,4.75,3.9,1.73,4.5,4,1.8,5.1,4.15,1.82,4.54,3.95,1.75,1.66,2.2,1.66,2.32,1.69,2.37,1.64,2.25,0.75,1.92,2.01,1.91,2.01,2.08,2.04,1.92,1.97,1.92,2.01,1.91,2.01,2.08,2.04,1.92,1.97
D1,18-08-2000,Cottbus,Dortmund,1,4,A,0,0,D,20500,Franz-Xaver Wack ,11,10,3,5,0,0,8,4,25,20,1,1,2,2,0,0,20,20,2.9,3,2.1,3,2.9,2,,,,3.1,3.2,2.1,3.2,3,2.1,2.73,1.25,1.92,2.01,1.87,2.05,1.92,2.07,1.86,2.02,5.5,4.75,1.5,6,4.75,1.48,6.5,4.3,1.5,6.21,4.57,1.55,6,4.6,1.5,5.75,4.6,1.55,6.5,4.88,1.57,5.87,4.61,1.52,1.44,2.75,1.45,2.9,1.48,3.05,1.42,2.83,1,2.06,1.87,2.03,1.88,2.09,1.89,2.05,1.84,2.06,1.87,2.03,1.88,2.09,1.89,2.05,1.84
D1,19-08-2000,Munich 1860,Werder Bremen,2,1,H,1,1,D,23000,Bernd Heynemann ,11,7,5,2,0,1,2,5,10,12,1,4,0,0,0,0,0,0,1.9,2.9,3.7,1.9,2.9,3.2,,,,1.91,3.25,3.5,1.9,3.2,3.5,1.86,-0.25,1.97,1.96,1.98,1.93,1.99,1.97,1.95,1.93,2.3,3.4,3,2.35,3.4,3,2.2,3.4,3.3,2.5,3.35,3.02,2.35,3.4,3,2.4,3.4,3,2.52,3.54,3.32,2.37,3.38,3.03,1.8,2,1.86,2.04,1.92,2.15,1.83,1.99,-0.25,2.08,1.85,2.14,1.79,2.16,1.94,2.06,1.83,2.08,1.85,2.14,1.79,2.16,1.94,2.06,1.83
