Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D1,01-08-2003,Bayern Munich,Ein Frankfurt,3,1,H,3,0,H,17,6,19,17,4,3,1,2,0,0,1.2,5,11,1.25,5,10,1.25,4.5,9,1.25,4.5,10,1.22,5,10,1.22,5,10,1.25,4.5,10,1.5,2.25,,,2,1.8,-2,1.8,2.05,-1.75,,,,7,6.16,33,1.88,1.75,2.1,1.98,24,-1,2.17,2.07,1.82,1.77,1.18,8,13,1.25,6.1,11,1.18,8.49,17.38,1.15,8.5,17,1.17,8,18,1.25,9.1,19.25,1.17,8,15.67,1.3,3.5,1.32,3.62,1.4,3.62,1.31,3.4,-2.25,2.03,1.9,1.99,1.93,2.04,1.93,1.98,1.91
D1,02-08-2003,Hamburg,Hannover,0,3,A,0,1,A,10,16,14,19,7,4,3,1,0,0,1.571,3.5,5,1.65,3.5,4.75,1.65,3.3,4.4,1.571,3.5,5,1.57,3.5,5.25,1.57,3.5,5.25,1.57,3.5,5,1.65,1.95,,,1.75,2.1,-0.75,2.05,1.8,-1,1.8,2.1,-0.75,8.8,7.35,33,1.85,1.71,2.15,2.02,22,-1.25,2.02,1.99,1.95,1.88,1.16,8,16.5,1.2,6.5,15,1.16,8.37,20.11,1.2,6.5,15,1.15,8.5,20,1.2,8.8,26,1.16,8.1,18.29,1.3,3.5,1.33,3.5,1.4,3.6,1.32,3.31,-2.25,1.92,2.01,1.92,2,1.98,2.04,1.91,1.97
D1,02-08-2003,Hertha,Werder Bremen,0,3,A,0,2,A,23,19,12,23,6,6,1,1,0,0,1.833,3.2,3.75,1.85,3.25,4,1.8,3.1,3.8,1.8,3.25,3.75,1.83,3.3,3.75,1.8,3.25,4,1.72,3.4,4,1.7,1.9,,,1.8,2,-0.5,1.8,2.05,-0.5,2.025,1.875,-0.75,7.5,6.68,33,1.65,1.59,2.37,2.2,23,-1,1.8,1.77,2.17,2.08,2.5,3.3,2.85,2.6,3.3,2.7,2.74,3.3,2.77,2.2,3.3,3.4,2.63,3.3,2.8,2.74,3.38,2.96,2.61,3.29,2.78,1.9,1.9,1.98,1.92,2.01,1.96,1.93,1.89,0,1.92,2.01,1.94,1.97,1.97,2.06,1.9,1.99
D1,02-08-2003,Kaiserslautern,Munich 1860,0,1,A,0,1,A,13,15,17,21,8,8,2,3,1,0,1.8,3.3,3.75,1.85,3.25,3.9,1.9,3.1,3.5,1.8,3.25,3.75,1.85,3.25,3.75,1.85,3.25,3.75,1.9,3.2,3.5,1.65,1.95,,,1.8,2,-0.5,1.8,2.05,-0.5,1.825,2.075,-0.5,4,3.59,33,1.97,1.79,2.05,1.95,23,-0.25,1.85,1.81,2.1,2.06,1.25,6.25,11,1.27,5.8,10.5,1.27,6.69,10.45,1.25,6,12,1.25,6.5,11,1.29,7.05,13,1.25,6.52,10.7,1.28,3.75,1.3,3.73,1.35,3.85,1.29,3.58,-2,2.07,1.86,2.05,1.86,2.15,1.91,2.03,1.85
D1,02-08-2003,Leverkusen,Freiburg,4,1,H,3,1,H,21,10,18,12,7,6,0,3,0,0,1.667,3.3,4.5,1.65,3.4,4.75,1.7,3.2,4.2,1.615,3.5,4.5,1.62,3.4,5,1.61,3.4,5,1.61,3.3,5,1.6,2,,,1.8,2,-0.75,1.8,2.05,-0.75,1.925,1.975,-0.75,6.2,5.52,32,1.9,1.74,2.15,1.98,21,-1,2.16,2.09,1.83,1.77,1.7,4,4.75,1.65,4.1,5,1.7,4.15,4.9,1.7,4,4.75,1.7,4.2,4.8,1.76,4.32,5.1,1.69,4.07,4.79,1.66,2.2,1.68,2.3,1.69,2.38,1.65,2.26,-0.75,1.92,2.01,1.92,2,1.95,2.11,1.89,2
D1,02-08-2003,Schalke 04,Dortmund,2,2,D,1,0,H,20,7,25,25,7,3,2,3,1,0,2.375,3.1,2.625,2.35,3.2,2.75,2.3,3,2.7,2.375,3.2,2.6,2.3,3.1,2.8,2.3,3.1,2.8,2.3,3.1,2.75,1.75,1.85,,,2.05,1.75,-0.25,2.05,1.8,-0.25,2.125,1.775,-0.25,8,6.53,33,1.82,1.72,2.15,2,23,-1,1.83,1.81,2.1,2.03,2.05,3.5,3.6,2.1,3.6,3.45,2.17,3.52,3.51,1.91,3.75,3.9,2.15,3.7,3.4,2.17,3.7,4.1,2.07,3.53,3.56,1.72,2.1,1.73,2.21,1.73,2.31,1.68,2.19,-0.5,2.11,1.82,2.17,1.77,2.17,1.86,2.09,1.81
D1,02-08-2003,Wolfsburg,Bochum,3,2,H,2,2,D,15,16,18,20,4,4,3,4,0,0,1.727,3.3,4.2,1.75,3.4,4.3,1.75,3.2,4,1.727,3.4,4,1.75,3.25,4.2,1.7,3.25,4.5,1.72,3.25,4.2,1.7,1.9,,,2.1,1.7,-1,1.8,2.05,-0.75,1.875,2.025,-0.75,4.16,3.8,31,2.1,1.96,1.85,1.78,20,-0.5,2.16,2.05,1.82,1.77,2.15,3.4,3.4,2,3.6,3.6,2.31,3.41,3.37,2.15,3.5,3.3,2.25,3.6,3.2,2.31,3.68,3.7,2.2,3.43,3.35,1.9,1.9,1.9,2,1.92,2.12,1.84,1.97,-0.25,1.99,1.94,1.98,1.94,2.02,2.13,1.93,1.95
D1,03-08-2003,Hansa Rostock,Stuttgart,0,2,A,0,0,D,10,15,21,27,7,4,1,4,0,0,2.625,3.1,2.375,2.65,3.25,2.4,2.5,3,2.5,2.5,3.25,2.4,2.63,3.2,2.38,2.62,3.2,2.37,2.62,3.2,2.3,1.75,1.85,,,1.9,1.9,0,2,1.85,0,2.1,1.8,0,2,1.87,31,1.7,1.63,2.2,2.12,21,0.5,2.02,1.97,1.94,1.88,2.2,3.75,3,2.1,3.7,3.25,2.13,3.81,3.36,2.05,3.6,3.5,2.15,3.8,3.3,2.2,3.85,3.76,2.12,3.74,3.25,1.5,2.62,1.53,2.64,1.53,2.88,1.5,2.57,-0.25,1.88,2.05,1.86,2.06,1.9,2.2,1.86,2.03
D1,03-08-2003,M'gladbach,FC Koln,1,0,H,0,0,D,16,11,19,23,6,1,1,2,0,1,1.833,3.2,3.75,2,3.25,3.4,1.9,3.1,3.5,1.833,3.4,3.5,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.2,3.5,1.7,1.9,,,1.95,1.85,-0.5,1.95,1.9,-0.5,2,1.9,-0.5,3,2.66,31,2.1,1.93,1.9,1.78,20,0,1.85,1.76,2.16,2.03,4.75,4,1.7,5,3.8,1.7,4.54,4.02,1.78,4.75,3.9,1.73,4.5,4,1.8,5.1,4.15,1.82,4.54,3.95,1.75,1.66,2.2,1.66,2.32,1.69,2.37,1.64,2.25,0.75,1.92,2.01,1.91,2.01,2.08,2.04,1.92,1.97
D1,09-08-2003,Bochum,Hamburg,1,1,D,1,1,D,12,13,11,28,5,3,0,3,0,0,2.4,3.25,2.5,2.5,3.25,2.55,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.1,2.62,1.65,2.05,1.8,1.9,1.85,1.95,0,1.95,1.9,0,1.875,2.025,0,4.35,3.91,30,1.87,1.78,2.1,1.94,21,-0.5,2.04,1.97,1.93,1.87,6,4.75,1.48,6.5,4.3,1.5,6.21,4.57,1.55,6,4.6,1.5,5.75,4.6,1.55,6.5,4.88,1.57,5.87,4.61,1.52,1.44,2.75,1.45,2.9,1.48,3.05,1.42,2.83,1,2.06,1.87,2.03,1.88,2.09,1.89,2.05,1.84
