Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5
D1,11-08-2006,Bayern Munich,Dortmund,2,0,H,1,0,H,12,16,9,7,14,20,4,4,1,2,0,0,1.57,3.6,6,1.55,4.05,4.75,1.5,3.8,6.75,1.55,3.7,5,1.44,3.6,6.5,1.5,3.75,6,1.53,3.5,5.5,1.44,3.75,7,1.45,3.75,6,46,1.62,1.51,4,3.71,7,6.16,33,1.88,1.75,2.1,1.98,24,-1,2.17,2.07,1.82,1.77,-2,1.8,2,1.85,2.07,2.1,2.11,1.84,2.04,1.14,8,15,1.18,8,13,1.25,6.1,11,1.18,8.49,17.38,1.15,8.5,17,1.17,8,18,1.25,9.1,19.25,1.17,8,15.67,1.3,3.5,1.32,3.62
D1,12-08-2006,Hamburg,Bielefeld,1,1,D,0,1,A,26,10,19,5,29,22,11,2,3,2,0,0,1.44,4,7.5,1.35,4.4,7.5,1.4,4,7.5,1.4,4,6.5,1.4,3.75,7,1.44,4,6.5,1.4,3.75,7,1.44,3.6,7.5,1.4,3.75,7,46,1.45,1.4,4.75,4.06,8.8,7.35,33,1.85,1.71,2.15,2.02,22,-1.25,2.02,1.99,1.95,1.88,-2,2.02,1.77,2.03,1.88,2.1,1.9,2.02,1.85,1.12,8,26,1.16,8,16.5,1.2,6.5,15,1.16,8.37,20.11,1.2,6.5,15,1.15,8.5,20,1.2,8.8,26,1.16,8.1,18.29,1.3,3.5,1.33,3.5
D1,12-08-2006,Leverkusen,Aachen,3,0,H,2,0,H,20,8,11,5,22,8,5,1,3,0,1,1,1.44,4,7.5,1.5,3.8,5.8,1.5,3.75,6.5,1.45,3.9,6,1.44,3.6,6.5,1.44,4,6.5,1.44,3.6,6.5,1.4,4.1,7,1.45,3.6,6.5,45,1.5,1.45,4.2,3.9,7.5,6.68,33,1.65,1.59,2.37,2.2,23,-1,1.8,1.77,2.17,2.08,-0.25,1.94,1.99,1.93,2,1.94,2.01,1.91,1.98,2.55,3.3,2.7,2.5,3.3,2.85,2.6,3.3,2.7,2.74,3.3,2.77,2.2,3.3,3.4,2.63,3.3,2.8,2.74,3.38,2.96,2.61,3.29,2.78,1.9,1.9,1.98,1.92
D1,12-08-2006,Mainz,Bochum,2,1,H,1,0,H,11,19,5,9,17,15,1,8,2,3,0,0,2,3.2,3.75,1.85,3.3,3.9,1.95,3.25,3.75,2,3.2,3.3,1.83,3.4,3.5,2,3.25,3.4,1.95,3.1,3.5,1.83,3.4,3.8,1.9,3.2,3.5,44,2.15,1.96,3.4,3.26,4,3.59,33,1.97,1.79,2.05,1.95,23,-0.25,1.85,1.81,2.1,2.06,-1.75,1.98,1.95,1.97,1.94,1.99,1.97,1.95,1.93,1.22,6.5,11,1.25,6.25,11,1.27,5.8,10.5,1.27,6.69,10.45,1.25,6,12,1.25,6.5,11,1.29,7.05,13,1.25,6.52,10.7,1.28,3.75,1.3,3.73
D1,12-08-2006,M'gladbach,Cottbus,2,0,H,0,0,D,13,11,8,7,11,24,3,5,0,4,0,1,1.61,3.6,5.5,1.6,3.5,5.3,1.57,3.5,6,1.6,3.6,4.8,1.57,3.5,5,1.6,3.4,5.5,1.6,3.4,4.8,1.57,3.6,5.5,1.53,3.5,5.5,44,1.62,1.58,3.85,3.55,6.2,5.52,32,1.9,1.74,2.15,1.98,21,-1,2.16,2.09,1.83,1.77,-0.75,1.99,1.94,1.99,1.93,1.99,1.95,1.96,1.92,1.66,4.2,4.5,1.7,4,4.75,1.65,4.1,5,1.7,4.15,4.9,1.7,4,4.75,1.7,4.2,4.8,1.76,4.32,5.1,1.69,4.07,4.79,1.66,2.2,1.68,2.3
D1,12-08-2006,Schalke 04,Ein Frankfurt,1,1,D,1,0,H,24,8,13,5,17,19,7,5,1,2,0,0,1.44,4,7.5,1.45,4,6.2,1.5,3.75,6.5,1.5,3.8,5.5,1.44,3.6,6.5,1.5,3.75,6,1.44,3.6,6.5,1.5,3.6,6.5,1.45,3.75,6,46,1.53,1.47,4.15,3.79,8,6.53,33,1.82,1.72,2.15,2,23,-1,1.83,1.81,2.1,2.03,-0.5,1.92,2.01,1.91,2.01,1.95,2.01,1.9,1.98,2.05,3.4,3.6,2.05,3.5,3.6,2.1,3.6,3.45,2.17,3.52,3.51,1.91,3.75,3.9,2.15,3.7,3.4,2.17,3.7,4.1,2.07,3.53,3.56,1.72,2.1,1.73,2.21
D1,12-08-2006,Stuttgart,Nurnberg,0,3,A,0,2,A,10,11,8,8,12,24,5,6,1,2,0,0,2,3.2,3.75,1.9,3.3,3.6,1.9,3.3,4,1.8,3.2,4,1.8,3.25,3.75,2,3.25,3.4,1.9,3.1,3.6,2,3.25,3.4,1.9,3.2,3.75,44,2.1,1.91,3.35,3.24,4.16,3.8,31,2.1,1.96,1.85,1.78,20,-0.5,2.16,2.05,1.82,1.77,-0.5,2.08,1.85,2.09,1.83,2.09,1.86,2.06,1.82,2.15,3.6,3.2,2.15,3.4,3.4,2,3.6,3.6,2.31,3.41,3.37,2.15,3.5,3.3,2.25,3.6,3.2,2.31,3.68,3.7,2.2,3.43,3.35,1.9,1.9,1.9,2
D1,13-08-2006,Hannover,Werder Bremen,2,4,A,1,1,D,14,15,6,8,18,14,2,11,1,3,0,0,4,3.25,1.9,3.75,3.4,1.85,4,3.4,1.85,3.6,3.2,1.9,3.5,3.4,1.83,3.6,3.3,1.91,3.6,3.1,1.9,3.6,3.4,1.91,3.6,3.3,1.85,44,4.15,3.76,3.65,3.34,2,1.87,31,1.7,1.63,2.2,2.12,21,0.5,2.02,1.97,1.94,1.88,-0.25,2.04,1.89,2.04,1.88,2.06,1.91,2.02,1.86,2.05,3.75,3.3,2.2,3.75,3,2.1,3.7,3.25,2.13,3.81,3.36,2.05,3.6,3.5,2.15,3.8,3.3,2.2,3.85,3.76,2.12,3.74,3.25,1.5,2.62,1.53,2.64
D1,13-08-2006,Wolfsburg,Hertha,0,0,D,0,0,D,26,10,15,4,30,18,10,5,4,1,0,0,2.2,3.2,2.75,2.55,3.15,2.55,2.5,3.2,2.65,2.4,3.1,2.7,2.4,3.25,2.5,2.4,3.3,2.6,2.37,3.1,2.62,2.25,3.25,2.88,2.4,3.1,2.6,44,2.55,2.46,3.35,3.18,3,2.66,31,2.1,1.93,1.9,1.78,20,0,1.85,1.76,2.16,2.03,0.75,1.98,1.95,1.98,1.93,1.99,1.97,1.96,1.92,4.5,4,1.72,4.75,4,1.7,5,3.8,1.7,4.54,4.02,1.78,4.75,3.9,1.73,4.5,4,1.8,5.1,4.15,1.82,4.54,3.95,1.75,1.66,2.2,1.66,2.32
D1,18-08-2006,Nurnberg,M'gladbach,1,0,H,1,0,H,11,11,7,6,19,20,2,5,2,3,0,0,1.9,3.25,4,1.75,3.4,4.3,1.85,3.3,4.1,1.9,3.2,3.6,1.83,3.2,3.75,1.9,3.25,3.75,1.9,3.1,3.6,1.75,3.4,4.25,1.85,3.2,3.75,42,1.97,1.87,3.4,3.28,4.35,3.91,30,1.87,1.78,2.1,1.94,21,-0.5,2.04,1.97,1.93,1.87,1.25,1.92,2.01,1.87,2.05,1.92,2.07,1.86,2.02,5.5,4.75,1.5,6,4.75,1.48,6.5,4.3,1.5,6.21,4.57,1.55,6,4.6,1.5,5.75,4.6,1.55,6.5,4.88,1.57,5.87,4.61,1.52,1.44,2.75,1.45,2.9
