Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA
SP1,28-08-2004,Ath Madrid,Malaga,2,0,H,1,0,H,1.72,3.25,4.33,1.9,3.35,3.6,1.85,3.25,4.3,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.25,4.2,1.72,3.2,4.33,1.85,1.85,2.05,1.75,1.85,1.85,-0.5,1.82,2.02,-0.5,1.8,2.1,-0.5,6.5,3.6,1.5,6.5,3.75,1.45,66,8.31,6.83,4.35,3.7,1.55,1.45,43,1.94,1.78,2.05,1.92,21,1.25,1.92,1.84,2.1
SP1,28-08-2004,Espanol,La Coruna,1,1,D,1,0,H,2.87,3.2,2.4,3.4,3.25,2,3,3.3,2.25,2.9,3,2.2,2.6,3.2,2.38,3,3.2,2.2,2.62,3.1,2.37,1.9,1.79,2.05,1.75,1.77,2.1,0.25,1.76,2.08,0.25,1.8,2.1,0.25,1.91,3.2,3.75,,,,66,2.05,1.92,3.3,3.19,4.25,3.67,39,1.95,1.85,2,1.84,20,-0.5,2.04,1.96,1.95
SP1,28-08-2004,Numancia,Betis,1,1,D,1,1,D,2.5,3.2,2.5,2.5,3.15,2.6,2.6,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5,1.95,1.75,2.1,1.7,1.95,1.9,0,2.02,1.82,0,2,1.9,0,2,3.2,3.5,1.85,3.25,3.75,65,2.1,1.94,3.4,3.19,4.2,3.63,42,2.13,1.99,1.85,1.72,23,-0.5,2.1,2.04,1.85
SP1,29-08-2004,Mallorca,Real Madrid,0,1,A,0,0,D,5,3.4,1.72,4.5,3.4,1.7,4.75,3.3,1.77,3.8,3.1,1.8,4.33,3.2,1.73,4.33,3.4,1.73,4.2,3.25,1.72,1.71,2,1.75,2.05,1.95,1.9,0.75,1.9,1.94,0.75,1.95,1.95,0.75,1.67,3.3,5,1.65,3.4,4.5,59,1.75,1.66,3.6,3.34,6.11,4.89,37,2.12,1.97,1.82,1.74,18,-0.75,1.92,1.88,2.05
SP1,29-08-2004,Osasuna,Ath Bilbao,1,1,D,1,1,D,2.3,3.2,2.7,2.25,3.2,2.9,2.3,3.25,2.95,2.4,2.9,2.7,2.25,3.2,2.75,2.4,3.1,2.75,2.3,3.1,2.75,2,1.71,2.05,1.75,1.8,2.05,0,2.1,1.74,-0.25,2.125,1.775,-0.25,7,3.75,1.44,6.5,3.6,1.45,65,8.8,7,4.2,3.77,1.55,1.43,40,1.88,1.7,2.15,1.98,20,1.25,1.92,1.85,2.08
SP1,29-08-2004,Santander,Barcelona,0,2,A,0,0,D,5,3.4,1.72,4.5,3.4,1.7,4.75,3.4,1.75,3.8,3.1,1.8,4.5,3.25,1.67,4.33,3.4,1.73,3.8,3.25,1.8,1.75,1.95,1.85,1.95,1.95,1.9,0.75,1.92,1.92,0.75,2,1.9,0.75,2,3.2,3.5,2,3.2,3.25,63,2.2,2.06,3.35,3.17,3.9,3.34,40,2.2,2.02,1.75,1.67,19,-0.25,1.9,1.87,2.07
SP1,29-08-2004,Sevilla,Albacete,1,0,H,0,0,D,1.66,3.4,4.5,1.7,3.4,4.5,1.72,3.4,5,1.75,3.2,4,1.62,3.25,5,1.67,3.4,4.75,1.6,3.4,4.8,1.9,1.79,2.1,1.7,1.8,2.05,-0.75,1.76,2.08,-0.75,1.8,2.1,-0.75,1.62,3.4,5.25,1.6,3.3,5,63,1.7,1.64,3.7,3.4,6.19,5.04,40,2.13,1.96,1.85,1.74,18,-0.75,1.95,1.9,2
SP1,29-08-2004,Sociedad,Levante,1,1,D,0,1,A,1.72,3.25,4.33,1.7,3.4,4.5,1.73,3.3,5,1.7,3.1,4.4,1.67,3.25,4.5,1.67,3.4,4.75,1.61,3.1,5.5,1.9,1.79,2,1.8,2.1,1.77,-0.75,2.12,1.72,-0.75,2.15,1.75,-0.75,2.55,3.15,2.55,2.5,3.1,2.5,64,2.8,2.56,3.35,3.14,2.8,2.53,40,2.01,1.88,1.95,1.81,20,0,1.93,1.86,2.03
SP1,29-08-2004,Zaragoza,Getafe,3,1,H,1,1,D,1.72,3.25,4.33,1.85,3.25,4,1.8,3.35,4.5,1.75,3.1,4.2,1.62,3.25,5,1.73,3.4,4.33,1.72,3.2,4.33,1.9,1.79,2.1,1.7,2,1.85,-0.75,,,,,,,2.88,3,2.38,2.9,3,2.25,61,3.2,2.83,3.4,3.18,2.5,2.3,39,2.13,1.95,1.9,1.75,18,0.25,1.95,1.91,1.99
SP1,30-08-2004,Valencia,Villarreal,2,1,H,2,0,H,1.61,3.4,5,1.45,3.75,7,1.63,3.3,6,1.55,3.5,4.8,1.53,3.5,5.5,1.53,3.6,6,,,,1.9,1.79,1.9,1.9,1.85,2,-0.75,1.9,1.94,-0.75,1.925,1.975,-0.75,1.62,3.4,5.25,1.6,3.3,5,63,1.67,1.6,3.79,3.43,7.35,5.41,40,2.1,1.94,1.85,1.74,18,-0.75,1.85,1.77,2.19
