Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH
I1,30-09-2000,Bari,Verona,1,1,D,0,0,D,1.9,2.9,3.7,1.9,2.7,3.4,1.85,3.2,3.75,1.9,3,4,1.83,3,4,G. Paparesta,15,9,9,4,18,23,9,3,1,4,0,0,2.2,2.87,3.25,2.25,2.9,3.2,2.15,2.9,3.4,2.2,2.8,3.1,2.2,2.8,3.2,2.25,2.9,3.4,2.25,2.87,3,2.2,2.88,3.3,2.2,2.9,3.1,50,2.35,2.21
I1,30-09-2000,Napoli,Juventus,1,2,A,1,0,H,3.4,2.9,1.95,3,2.8,2.1,3.75,3,1.9,3.75,3.1,1.91,3.75,2.8,2,G. Rocchi,17,6,7,5,27,21,9,2,2,3,0,0,1.9,2.9,4,1.9,3.2,3.8,1.85,3.15,4.1,1.9,3,3.6,1.91,3,3.75,1.95,3,4.2,1.9,2.87,4,2,3,3.75,1.9,3,3.75,51,2,1.92
I1,01-10-2000,Atalanta,Lazio,2,2,D,1,1,D,,,,3.6,3.1,1.75,4.3,3.2,1.7,3.75,3.25,1.8,4,3.1,1.8,M. De Santis,8,16,3,9,22,16,0,5,2,1,0,0,7.5,3.75,1.4,9,4.5,1.3,9,4.35,1.3,6.5,3.7,1.4,8,3.75,1.36,10,4.75,1.3,8,3.75,1.36,10,4.5,1.29,8.5,3.75,1.35,50,12,8.97
I1,01-10-2000,Milan,Vicenza,2,0,H,1,0,H,1.2,5,10,1.25,4.3,8,1.25,4.5,10,1.25,4.6,10,1.25,4.33,11,P. Tagliavento,16,7,9,3,13,20,6,1,1,3,0,0,1.16,5.5,13,1.16,5.9,15,1.15,5.6,16,1.17,5.5,11,1.17,5.5,12,1.17,5.75,15,1.16,5,15,1.2,5,15,1.17,5.5,12,50,1.2,1.17
I1,01-10-2000,Parma,Fiorentina,2,2,D,1,0,H,1.7,3.1,4.6,1.65,3.1,4,1.7,3.2,4.3,1.65,3.25,4.5,1.72,3.1,4.5,M. Trefoloni,16,2,7,0,16,12,6,2,1,2,0,0,1.25,5,13,1.22,5.5,10,1.2,5.15,13,1.2,5,10,1.2,5,11,1.22,5.5,12,1.22,5,9.5,1.22,5,12,1.22,5,10,51,1.25,1.21
I1,01-10-2000,Perugia,Lecce,1,1,D,0,1,A,1.85,3.05,3.8,1.7,3.1,3.8,1.8,3.2,4,1.95,3.1,3.5,1.9,2.87,4,P. Dondarini,7,16,4,7,18,20,6,10,3,1,0,0,1.9,3.1,3.75,1.9,3.1,4,1.9,3.1,3.8,1.9,3,3.6,1.83,3,4,1.91,3,4.2,1.83,3,4,1.8,3,4.75,1.8,3,4.35,51,2,1.89
I1,01-10-2000,Reggina,Inter,2,1,H,1,1,D,3.8,2.9,1.9,3.5,3,1.8,4,3.2,1.8,4,3.1,1.85,4,2.87,1.9,T. Pieri,8,14,3,9,18,9,3,8,3,0,0,0,2.4,2.87,2.87,2.55,2.9,2.75,2.5,2.9,2.8,2.4,2.8,2.8,2.38,2.88,2.8,2.38,2.88,3,2.3,2.8,3,2.5,2.75,3,2.4,2.9,2.8,50,2.7,2.45
I1,01-10-2000,Roma,Bologna,2,0,H,1,0,H,1.43,3.3,6.5,1.45,3.5,5,1.45,3.5,7,1.4,3.6,7,1.36,3.75,8,R. Rosetti,5,13,3,9,19,18,2,4,0,0,1,0,3.5,3,2,3.9,3.15,1.9,4.1,3.15,1.85,3.6,2.8,2,3.4,2.88,2.1,3.75,3,2,3.6,2.87,2,3.75,3,2,3.5,3,2,51,4.4,3.76
I1,01-10-2000,Udinese,Brescia,4,2,H,1,0,H,1.57,3.3,5.2,1.5,3.4,4.7,1.55,3.25,5.5,1.57,3.4,5.5,1.53,3.4,5.5,C. Brighi,10,9,6,6,21,19,4,4,2,2,1,0,2.2,3,3.1,2.2,2.9,3.3,2.2,3,3.15,2.1,2.8,3.3,2.2,2.8,3.2,2.2,2.88,3.4,2.2,2.87,3.1,2.1,2.88,3.6,2.25,2.8,3.1,49,2.3,2.18
I1,14-10-2000,Inter,Napoli,3,1,H,3,0,H,1.25,4.55,8.5,1.4,3.6,5.5,1.4,3.75,7,1.35,4,8,1.33,4,8,A. De Marco,12,8,8,4,20,12,6,5,2,1,0,0,1.57,3.25,6,1.6,3.4,5.5,1.57,3.4,5.75,1.55,3.4,5,1.57,3.2,6,1.53,3.4,6.5,1.53,3.5,5.5,1.57,3.4,6,1.55,3.3,5.5,49,1.65,1.55
I1,14-10-2000,Lazio,Perugia,3,0,H,1,0,H,1.2,5,10,1.2,4.7,9,1.25,4.5,10,1.2,5,12,1.2,5,11,S. Farina,21,7,11,3,7,16,3,4,1,2,0,0,1.2,5,12,1.16,6.4,12.5,1.18,5.5,14,1.22,4.8,9.5,1.17,5.5,12,1.2,5.75,13,1.2,5,11,1.2,5.5,12,1.18,5,13,60,1.23,1.19
I1,15-10-2000,Bologna,Milan,2,1,H,1,0,H,3.4,2.85,2.1,3,2.9,2,3.4,3,2,3.25,3,2.1,3.2,2.8,2.2,G. Paparesta,24,15,13,6,15,14,9,6,2,1,0,0,3.5,3,2,3.65,3.05,2,3.8,3,2,3.4,2.9,2,3.75,3,1.91,4,3,2,3.6,2.87,2,3.75,3,2,3.5,3.2,1.9,60,4.6,3.76
I1,15-10-2000,Brescia,Parma,0,0,D,0,0,D,3.2,2.85,2.2,3,2.9,2,3.2,3,2.1,3.1,2.9,2.25,3.25,2.75,2.2,P. Bertini,9,6,3,3,12,16,6,6,2,2,1,0,2.25,3,3,2.15,2.9,3.45,2.2,3,3.2,2.2,2.8,3.1,2.25,2.88,3,2.25,3,3.3,2.3,3,2.8,2.2,3,3.2,2.2,2.9,3.1,55,2.38,2.22
I1,15-10-2000,Fiorentina,Reggina,2,1,H,0,0,D,1.35,3.7,8.5,1.4,3.6,5.5,1.4,3.5,8,1.4,3.75,7.5,1.36,3.75,8,O. Girardi,12,5,8,2,16,15,9,2,1,1,0,0,2.2,2.87,3.2,2.25,2.75,3.45,2.2,2.8,3.45,2.1,2.8,3.4,2.25,2.88,3,2.3,2.88,3.2,2.15,2.8,3.3,2.25,2.88,3.25,2.2,2.9,3.1,56,2.35,2.22
I1,15-10-2000,Juventus,Bari,2,0,H,1,0,H,1.23,4.55,10,1.3,4,7,1.2,4.5,11,1.29,4.33,9,1.25,4.5,10,A. Dattilo,9,13,1,8,16,23,3,6,1,0,0,0,5.5,3.75,1.5,6.75,3.75,1.45,7,3.75,1.45,5.2,3.3,1.55,7,3.75,1.4,7.5,3.6,1.5,6.5,3.6,1.44,8.5,3.5,1.44,7.5,3.4,1.45,60,9,6.86
I1,15-10-2000,Lecce,Roma,0,4,A,0,2,A,3.6,2.8,2.05,3,2.9,2,3.75,3,1.9,3.25,3,2.05,3.3,2.87,2.1,A. Romeo,9,6,6,4,18,9,9,2,2,3,0,1,1.72,3.2,4.5,1.75,3.1,4.9,1.67,3.15,5.4,1.8,2.9,4.2,1.67,3.25,4.5,1.75,3.1,4.8,1.72,3.2,4.33,1.73,3.1,5,1.7,3,5,55,1.8,1.71
I1,15-10-2000,Verona,Udinese,1,1,D,0,0,D,2.45,2.8,2.8,2.1,2.9,2.9,2.5,2.85,2.6,2.4,2.88,2.88,2.4,2.8,2.87,P. Rodomonti,8,12,4,7,19,20,7,7,3,3,0,0,2.5,2.87,2.75,2.7,2.8,2.7,2.65,2.9,2.65,2.4,2.8,2.8,2.5,2.88,2.62,2.62,2.88,2.7,2.6,2.8,2.6,2.5,2.88,2.8,2.5,2.8,2.8,57,2.85,2.58
I1,15-10-2000,Vicenza,Atalanta,1,2,A,0,0,D,2.1,2.8,3.4,1.9,2.8,3.3,2,3,3.4,2.1,2.88,3.4,2.1,2.8,3.4,D. Messina,13,10,4,5,15,20,7,4,0,4,0,0,1.83,3,4.33,1.77,3.2,4.5,1.8,3.2,4.25,1.75,3,4.4,1.8,3.2,4,1.83,3.1,4.33,1.83,3,4,1.83,3.1,4.33,1.8,3,4.35,59,1.92,1.82
I1,21-10-2000,Milan,Juventus,2,2,D,0,0,D,2.15,3,3.15,2,2.7,3.2,2.25,2.85,3,2.2,2.9,3.1,2.2,2.87,3.1,L. Palanca,16,11,7,7,22,24,5,5,1,3,0,1,1.53,3.5,5.5,1.5,3.6,6.5,1.45,3.6,7.5,1.55,3.3,5.2,1.5,3.25,6.5,1.5,3.5,7,1.5,3.4,6,1.5,3.6,6.5,1.55,3.2,6,57,1.55,1.49
I1,21-10-2000,Udinese,Inter,3,0,H,1,0,H,2.45,3,2.65,2.7,2.9,2.2,,,,2.8,2.9,2.4,2.8,2.75,2.5,M. Saccani,4,7,2,4,14,19,3,6,3,2,0,0,2.5,2.87,2.75,2.5,2.8,2.9,2.55,2.85,2.8,2.4,2.8,2.8,2.5,2.88,2.62,2.5,2.88,2.88,2.5,2.8,2.75,2.5,2.75,2.8,2.5,2.9,2.7,53,2.7,2.49
I1,22-10-2000,Bari,Atalanta,0,2,A,0,0,D,2.17,2.9,3.25,2,2.7,3.2,2.2,2.8,3.2,2.1,2.88,3.4,2.1,2.8,3.4,T. Pieri,12,7,8,5,16,19,5,3,1,1,0,0,1.22,5.5,13,1.2,5.2,14,1.2,5.2,13,1.22,4.8,9.5,1.2,5,11,1.222,5.5,12,1.22,5,9.5,1.22,5,13,1.2,5,12,60,1.25,1.21
I1,22-10-2000,Brescia,Fiorentina,1,1,D,0,0,D,2.45,3,2.65,2.4,2.9,2.4,2.5,2.85,2.6,2.75,2.88,2.5,2.75,2.9,2.4,M. Bergonzi,27,16,12,3,22,19,10,7,1,0,0,0,1.8,3.1,5,1.75,3.15,4.7,1.75,3.1,4.75,1.85,2.8,4.2,1.67,3.2,5,1.8,3.2,4.333,1.7,3,5,1.8,3.2,4.33,1.7,3.1,5,60,1.85,1.74
I1,22-10-2000,Napoli,Bologna,1,5,A,0,2,A,2.2,2.9,3.15,1.9,2.9,3.2,2.25,2.85,3,2.25,2.88,3.1,2.25,3,2.87,A. Giannoccaro,16,8,8,5,20,25,8,4,1,4,0,0,2.1,2.9,3.8,2.25,2.85,3.25,2.15,2.9,3.4,2.1,2.8,3.3,2.1,2.8,3.5,2.2,2.875,3.4,2,2.87,3.6,2.1,2.88,3.6,2,3,3.6,54,2.25,2.12
I1,22-10-2000,Perugia,Parma,3,1,H,3,0,H,3.55,2.9,2.05,3,2.9,2,3.2,3,2.1,3.4,2.88,2.1,3.75,2.8,2,P. Dondarini,11,14,6,9,24,21,4,3,0,3,0,0,2.2,3,3.4,2.25,2.9,3.25,2.2,2.9,3.3,2.2,2.7,3.3,2.25,3,2.88,2.3,2.875,3.2,2.2,2.8,3.2,2.25,2.88,3.2,2.2,2.9,3.2,55,2.3,2.21
I1,22-10-2000,Reggina,Lecce,0,1,A,0,1,A,1.9,3.1,3.75,1.8,2.9,3.6,1.9,3,3.75,1.9,3,4,1.9,2.87,4,P. Tagliavento,17,12,7,5,18,16,8,6,2,2,0,0,1.16,6.5,15,1.11,7.15,17,1.13,6.5,17,1.17,5.5,11,1.14,6,13,1.142,6,17,1.14,6,12,1.15,6.5,13,1.14,6,15,57,1.17,1.14
I1,22-10-2000,Roma,Vicenza,3,1,H,1,0,H,1.25,4.6,8.5,1.2,4.7,9,1.2,5,11,1.25,4.6,10,1.2,5,11,P. Mazzoleni,13,5,6,1,23,23,7,1,0,0,0,1,1.61,3.4,6,1.65,3.15,5.75,1.57,3.25,6.5,1.6,3.3,4.8,1.44,3.4,7,1.571,3.4,6,1.53,3.25,6,1.57,3.4,6,1.5,3.5,6.5,54,1.65,1.57
I1,22-10-2000,Verona,Lazio,2,0,H,0,0,D,4.25,2.95,1.85,3.4,2.9,1.85,4,3,1.85,4,3.1,1.85,4,2.87,1.9,M. Trefoloni,6,8,4,5,17,13,5,3,2,2,0,0,3.4,3,2.2,3.1,3.1,2.2,3.2,3.1,2.15,2.8,2.9,2.3,3.1,2.8,2.25,3.4,3,2.2,3,3,2.2,3.2,3,2.2,3,2.9,2.3,55,3.88,3.16
I1,01-11-2000,Atalanta,Verona,3,0,H,2,0,H,1.9,2.9,3.8,1.9,2.8,3.3,1.8,2.85,4.5,1.9,3,3.8,1.83,2.87,4.33,S. Racalbuto,16,8,8,5,11,12,5,3,3,2,0,1,2.37,2.87,3.25,2.3,2.85,3.15,2.3,2.8,3.25,2.3,2.7,3,2.38,3,2.75,2.3,2.8,3.25,2.2,2.87,3.1,2.3,2.75,3.3,2.25,2.8,3.1,54,2.45,2.3
I1,01-11-2000,Bologna,Reggina,2,0,H,0,0,D,1.55,3,6.8,1.5,3.4,4.7,1.45,3.5,7,1.44,3.4,6.5,1.44,3.5,7,P. Bertini,7,12,4,5,20,16,4,7,3,1,0,0,4.5,3.2,1.83,4.2,3.15,1.83,4.4,3.1,1.8,4.2,2.8,1.85,4,3.2,1.8,4.333,3.1,1.909,4,3,1.83,3.9,3.1,1.91,4,3,1.9,58,4.7,4.2
I1,01-11-2000,Fiorentina,Bari,2,2,D,1,0,H,1.45,3.5,6.5,1.45,3.5,5,1.4,3.75,7,1.44,3.6,7,1.44,3.5,7,G. Rocchi,10,14,3,10,13,15,4,6,3,2,0,0,2.6,2.87,2.6,2.75,2.85,2.6,2.75,2.9,2.55,2.7,2.7,2.6,2.62,2.88,2.5,2.7,2.875,2.6,2.6,2.8,2.6,2.7,2.88,2.62,2.65,2.8,2.65,54,2.9,2.72
I1,01-11-2000,Inter,Roma,2,0,H,1,0,H,2.4,2.85,2.65,2.2,2.8,2.8,2.5,2.85,2.6,2.4,2.9,2.8,2.6,2.9,2.5,N. Stefanini,7,8,2,4,28,19,3,3,1,2,0,0,2.3,2.9,3.25,2.45,2.9,2.9,2.4,2.85,3,2.4,2.7,2.9,2.25,2.88,3,2.38,2.8,3.1,2.3,2.9,2.9,2.38,2.88,3,2.35,2.9,2.9,64,2.5,2.37
I1,01-11-2000,Juventus,Udinese,1,2,A,0,1,A,1.45,3.4,6.8,1.45,3.5,5,1.45,3.5,7,1.45,3.5,7,1.44,3.3,7.5,E. Morganti,6,17,2,10,22,18,1,7,2,2,0,0,5.5,3.1,1.72,4.9,3.25,1.7,5,3.2,1.7,4.2,3.1,1.75,4.33,3,1.8,4.75,3.3,1.7,4.8,3,1.72,4.5,3.1,1.8,4.5,3.25,1.7,66,6,4.89
I1,01-11-2000,Lazio,Brescia,2,1,H,1,1,D,1.2,5,9,1.2,4.7,9,1.25,4.5,10,1.22,5,10,1.22,5,9.5,N. Rizzoli,8,9,4,5,22,16,8,5,3,2,0,0,2.3,2.9,3.3,2.35,2.9,3,2.3,2.9,3.1,2.3,2.7,3,2.25,2.88,3,2.4,2.88,3,2.3,2.9,2.9,2.38,2.88,3,2.35,2.9,2.9,63,2.45,2.32
I1,01-11-2000,Lecce,Napoli,1,1,D,0,0,D,1.9,2.8,4,1.8,2.9,3.6,1.9,3,3.75,1.8,3,4.33,1.7,3,5,M. De Santis,10,14,4,9,18,16,2,6,3,1,1,0,3.75,3,2.1,3.75,3,2,3.3,3,2.15,2.8,2.8,2.4,3.4,3,2,3.4,3,2.1,3.2,3,2.1,4,3.1,1.91,3,2.9,2.25,63,4,3.41
I1,01-11-2000,Parma,Milan,2,0,H,1,0,H,2.5,2.85,2.6,2.3,2.8,2.6,2.35,2.85,2.8,2.5,2.88,2.75,2.5,2.8,2.75,R. Rosetti,10,5,7,3,16,13,7,1,1,0,0,0,2.2,2.87,3.6,2.2,2.8,3.45,2.15,2.9,3.4,2.2,2.7,3.2,2.1,3,3.2,2.25,2.88,3.2,2.1,3,3.2,2.2,2.88,3.4,2.2,2.9,3.1,63,2.3,2.16
I1,01-11-2000,Vicenza,Perugia,1,0,H,0,0,D,2.05,3,3.2,1.9,2.8,3.3,1.9,3.2,3.5,1.8,3.1,4.2,1.75,3.1,4.3,D. Messina,12,8,7,3,17,14,5,2,0,1,0,0,1.4,4,9,1.3,4.65,8.5,1.36,4,8.5,1.4,3.7,6.5,1.4,3.5,8,1.4,4,8.5,1.36,3.75,8,1.33,4.33,8.5,1.4,3.75,7,65,1.45,1.36
I1,04-11-2000,Fiorentina,Perugia,3,4,A,2,1,H,1.45,3.5,6.9,1.45,3.5,5,1.35,3.75,8,1.44,3.6,6.5,1.4,3.6,7.5,P. Rodomonti,16,8,10,3,17,19,10,5,2,4,0,0,1.44,3.8,7,1.4,3.75,8.25,1.45,3.6,7.25,1.4,3.7,6.5,1.4,3.5,8,1.5,3.6,6.5,1.44,3.5,7,1.44,3.6,8,1.45,3.6,6.5,64,1.53,1.43
I1,04-11-2000,Lazio,Bologna,2,0,H,1,0,H,1.4,3.6,7.6,1.4,3,5.5,1.33,4,8,1.35,3.75,8.5,1.36,3.75,8,D. Tombolini,18,8,12,2,17,14,7,6,2,3,0,0,1.57,3.6,6,1.55,3.4,6.25,1.55,3.4,6,1.6,3.3,4.8,1.57,3.25,5.5,1.57,3.4,6,1.53,3.5,5.5,1.57,3.2,6.5,1.55,3.3,5.5,65,1.62,1.54
I1,05-11-2000,Bari,Parma,0,1,A,0,0,D,2.9,3,2.3,2.8,2.8,2.2,3,3,2.2,2.8,3,2.3,2.75,2.9,2.4,L. Banti,11,9,4,6,15,12,3,5,3,0,0,0,3.75,3,2,3.9,3,1.97,3.5,3,2.05,3.1,2.8,2.2,3.4,3,2,3.4,3,2.1,3.4,3,2,3.6,2.88,2.1,3.25,3,2.1,62,4.3,3.61
I1,05-11-2000,Brescia,Roma,2,4,A,2,1,H,3.6,2.9,2,3.2,2.9,1.9,4.3,2.85,1.85,3.4,3.1,2,3.75,2.8,2,N. Ayroldi,6,7,3,3,24,18,3,1,3,1,0,0,4,3,2,3.75,3.1,1.95,3.75,3.1,1.95,3.6,3,1.9,3.6,2.88,2,3.75,3.1,2.05,4,2.87,1.9,3.75,3,2,3.6,2.9,2,66,4.25,3.74
I1,05-11-2000,Milan,Atalanta,3,3,D,1,3,A,1.35,4,7.2,1.35,3.8,6.2,1.45,3.5,7,1.36,4,7.5,1.36,4,7,T. Pieri,5,8,3,6,27,27,2,5,3,3,0,0,6,3.4,1.61,6,3.25,1.6,5.65,3.3,1.6,4.4,3.1,1.7,5,3.2,1.67,6,3.4,1.62,5.5,3.3,1.57,6.5,3.25,1.57,5,3.5,1.6,63,7,5.69
I1,05-11-2000,Napoli,Vicenza,1,2,A,1,1,D,1.95,3.05,3.55,1.8,2.9,3.6,1.9,3.2,3.5,1.8,3.1,3.6,1.83,3,4,M. Gabriele,6,7,4,3,20,26,4,7,4,3,0,1,3.5,3,2.2,3.5,3.1,2.05,3.3,3,2.15,2.9,2.8,2.3,3,3.2,2.1,3.1,3.1,2.2,3,3,2.2,3.4,3,2.1,3.2,2.9,2.25,60,3.75,3.32
I1,05-11-2000,Reggina,Juventus,0,2,A,0,1,A,3.4,2.95,2.05,3.2,2.9,1.9,3.75,3,1.9,3.4,3,1.95,3.4,2.8,2.1,A. Dattilo,8,12,3,5,12,17,2,3,2,2,0,0,3.75,3.2,2,3.8,3.25,1.9,3.5,3.1,2,3.2,2.9,2.1,3.4,3,2,3.6,3.1,2,3.2,2.9,2.15,3.4,3,2.1,3.4,3,2.1,64,4,3.45
I1,05-11-2000,Udinese,Lecce,2,0,H,0,0,D,1.45,3.45,6.9,1.45,3.5,5,1.3,4,9,1.44,3.5,6.75,1.44,3.6,6.5,O. Pantana,5,12,2,2,21,24,3,5,1,4,0,0,2,3.2,3.75,1.95,3.05,3.85,2,3.1,3.5,2,2.9,3.4,1.91,3.2,3.5,2,3.1,3.6,2.15,2.9,3.2,2,3,3.75,2,3.1,3.5,61,2.2,2.01
I1,05-11-2000,Verona,Inter,2,2,D,2,1,H,2.85,2.95,2.35,2.4,2.9,2.4,2.8,2.85,2.35,2.9,3,2.1,3.1,2.87,2.2,S. Farina,17,4,7,2,26,20,6,3,2,3,0,0,1.61,3.4,6,1.7,3.2,5,1.57,3.4,5.75,1.65,3.2,4.6,1.62,3.25,5,1.57,3.6,6,1.5,3.4,6,1.62,3.2,6,1.5,3.6,6.5,62,1.7,1.57
