Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH
I1,14-09-2002,Bologna,Roma,2,1,H,0,1,A,2.8,2.875,2.375,3.05,2.9,2.35,2.9,2.8,2.3,2.8,2.875,2.375,3,2.88,2.3,3,2.875,2.375,3,2.8,2.3,2.05,1.75,G. Paparesta,15,9,9,4,18,23,9,3,1,4,0,0,2.2,2.87,3.25,2.25,2.9,3.2,2.15,2.9,3.4,2.2,2.8,3.1,2.2,2.8,3.2,2.25,2.9,3.4,2.25,2.87,3,2.2
I1,14-09-2002,Como,Empoli,0,2,A,0,1,A,2,2.875,3.6,2.11,3,3.7,1.9,2.8,4,1.909,3,3.75,2,3,3.5,2,3,3.75,1.9,3,3.75,2,1.77,G. Rocchi,17,6,7,5,27,21,9,2,2,3,0,0,1.9,2.9,4,1.9,3.2,3.8,1.85,3.15,4.1,1.9,3,3.6,1.91,3,3.75,1.95,3,4.2,1.9,2.87,4,2
I1,14-09-2002,Inter,Torino,1,0,H,1,0,H,1.333,4,8,1.33,4.25,10,1.3,4,8.5,1.364,3.75,8,1.3,4.33,8.5,1.3,4.333,10,1.3,4,9.5,1.67,1.95,M. De Santis,8,16,3,9,22,16,0,5,2,1,0,0,7.5,3.75,1.4,9,4.5,1.3,9,4.35,1.3,6.5,3.7,1.4,8,3.75,1.36,10,4.75,1.3,8,3.75,1.36,10
I1,14-09-2002,Modena,Milan,0,3,A,0,1,A,4.333,3.2,1.727,4.5,3.2,1.75,4.2,3.1,1.75,4.333,3.2,1.727,5,3.1,1.67,4.75,3.1,1.75,4.5,2.9,1.8,1.9,1.86,P. Tagliavento,16,7,9,3,13,20,6,1,1,3,0,0,1.16,5.5,13,1.16,5.9,15,1.15,5.6,16,1.17,5.5,11,1.17,5.5,12,1.17,5.75,15,1.16,5,15,1.2
I1,15-09-2002,Brescia,Piacenza,1,2,A,0,0,D,1.909,3,3.75,2.05,2.95,4,1.9,2.8,4,2,2.875,3.6,1.91,3,3.8,1.909,3,4,1.9,2.87,4,1.95,1.65,M. Trefoloni,16,2,7,0,16,12,6,2,1,2,0,0,1.25,5,13,1.22,5.5,10,1.2,5.15,13,1.2,5,10,1.2,5,11,1.22,5.5,12,1.22,5,9.5,1.22
I1,15-09-2002,Juventus,Atalanta,3,0,H,2,0,H,1.333,4,8,1.36,4.3,9,1.3,4,8.5,1.364,3.75,8,1.33,4,8.5,1.333,4.2,9,1.28,4.2,9,1.75,1.92,P. Dondarini,7,16,4,7,18,20,6,10,3,1,0,0,1.9,3.1,3.75,1.9,3.1,4,1.9,3.1,3.8,1.9,3,3.6,1.83,3,4,1.91,3,4.2,1.83,3,4,1.8
I1,15-09-2002,Lazio,Chievo,2,3,A,1,1,D,1.667,3.25,4.5,1.74,3.3,5,1.65,3.2,4.6,1.667,3.25,4.5,1.62,3.4,5,1.667,3.3,5,1.61,3.1,5.5,1.67,2.01,T. Pieri,8,14,3,9,18,9,3,8,3,0,0,0,2.4,2.87,2.87,2.55,2.9,2.75,2.5,2.9,2.8,2.4,2.8,2.8,2.38,2.88,2.8,2.38,2.88,3,2.3,2.8,3,2.5
I1,15-09-2002,Perugia,Reggina,2,0,H,0,0,D,1.727,3.1,4.5,1.94,3,4.65,1.8,2.9,4.2,1.8,3,4.333,1.8,3,4.5,1.75,3,4.75,1.83,2.87,4.33,1.95,1.72,R. Rosetti,5,13,3,9,19,18,2,4,0,0,1,0,3.5,3,2,3.9,3.15,1.9,4.1,3.15,1.85,3.6,2.8,2,3.4,2.88,2.1,3.75,3,2,3.6,2.87,2,3.75
I1,15-09-2002,Udinese,Parma,1,1,D,0,1,A,2.3,3,2.8,2.4,3,3,2.3,2.9,2.8,2.25,3,2.875,2.25,3,3,2.3,3,3,2.37,2.8,2.9,1.8,1.98,C. Brighi,10,9,6,6,21,19,4,4,2,2,1,0,2.2,3,3.1,2.2,2.9,3.3,2.2,3,3.15,2.1,2.8,3.3,2.2,2.8,3.2,2.2,2.88,3.4,2.2,2.87,3.1,2.1
I1,21-09-2002,Empoli,Juventus,0,2,A,0,1,A,4.333,3.2,1.727,5,3.2,1.83,4,3,1.8,,,,4,3.2,1.8,4.2,3.2,1.8,4.5,2.87,1.8,1.85,1.75,A. De Marco,12,8,8,4,20,12,6,5,2,1,0,0,1.57,3.25,6,1.6,3.4,5.5,1.57,3.4,5.75,1.55,3.4,5,1.57,3.2,6,1.53,3.4,6.5,1.53,3.5,5.5,1.57
