Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD
I1,30-08-2003,Reggina,Sampdoria,2,2,D,2,0,H,2.25,3,3.1,2.3,2.9,3.1,2.2,2.7,3.2,2.2,3,3,2.25,3,3,2.25,3,3,2.2,2.87,3.1,1.9,1.79,1.83,1.83,2,1.8,-0.25,2.05,1.8,-0.25,2.075,1.825,-0.25,G. Paparesta,15,9,9,4,18,23,9,3,1,4,0,0,2.2,2.87,3.25,2.25,2.9,3.2,2.15,2.9,3.4,2.2,2.8
I1,31-08-2003,Bologna,Parma,2,2,D,1,1,D,2.3,3,3,2.35,2.9,3,2.2,2.8,3.1,2.25,3,2.875,2.25,3,3,2.25,3,3,2.25,2.87,3,1.9,1.79,1.9,1.8,2.1,1.75,-0.25,2.1,1.75,-0.25,1.75,2.15,0,G. Rocchi,17,6,7,5,27,21,9,2,2,3,0,0,1.9,2.9,4,1.9,3.2,3.8,1.85,3.15,4.1,1.9,3
I1,31-08-2003,Brescia,Chievo,1,1,D,0,1,A,2.375,3,2.875,2.35,2.9,3,2.3,2.7,3,2.25,3,2.875,2.3,3,2.88,2.3,3,2.87,2.25,3,2.87,1.9,1.79,2,1.72,2.05,1.77,-0.25,2.1,1.75,-0.25,1.75,2.15,0,M. De Santis,8,16,3,9,22,16,0,5,2,1,0,0,7.5,3.75,1.4,9,4.5,1.3,9,4.35,1.3,6.5,3.7
I1,31-08-2003,Inter,Modena,2,0,H,0,0,D,1.25,5,10,1.25,4.5,11,1.3,4.2,8,1.25,4.5,10,1.22,5,10,1.22,4.8,11,1.25,4.5,10,1.65,2.05,1.8,1.9,1.85,1.95,-1.5,1.9,1.95,-1.5,1.925,1.975,-1.5,P. Tagliavento,16,7,9,3,13,20,6,1,1,3,0,0,1.16,5.5,13,1.16,5.9,15,1.15,5.6,16,1.17,5.5
I1,31-08-2003,Juventus,Empoli,5,1,H,1,0,H,1.222,5,13,1.25,4.5,11,1.25,4.5,9,1.25,4.5,10,1.22,5,10,1.22,4.8,11,1.2,5,11,1.55,2.25,1.72,2,1.85,1.95,-1.5,1.85,2,-1.5,1.875,2.025,-1.5,M. Trefoloni,16,2,7,0,16,12,6,2,1,2,0,0,1.25,5,13,1.22,5.5,10,1.2,5.15,13,1.2,5
I1,31-08-2003,Lazio,Lecce,4,1,H,3,0,H,1.333,4,10,1.4,3.75,7.7,1.35,4,7,1.333,3.75,9,1.33,4,8.5,1.33,4,8.5,1.36,3.6,9,1.6,2.15,1.8,1.9,1.8,2,-1.25,2.05,1.8,-1.5,1.9,2,-1.25,P. Dondarini,7,16,4,7,18,20,6,10,3,1,0,0,1.9,3.1,3.75,1.9,3.1,4,1.9,3.1,3.8,1.9,3
I1,31-08-2003,Perugia,Siena,2,2,D,2,1,H,1.667,3.2,5.5,1.67,3.2,5.25,1.7,3.1,4.4,1.667,2.875,5.5,1.67,3.2,5,1.66,3.2,5,1.66,3.1,5,1.9,1.79,1.9,1.8,1.8,2,-0.75,1.85,2,-0.75,1.9,2,-0.75,T. Pieri,8,14,3,9,18,9,3,8,3,0,0,0,2.4,2.87,2.87,2.55,2.9,2.75,2.5,2.9,2.8,2.4,2.8
I1,31-08-2003,Udinese,Roma,1,2,A,1,1,D,2.6,3.2,2.5,2.55,3,2.65,2.5,3,2.5,2.4,3,2.625,2.6,2.88,2.6,2.6,2.87,2.6,2.5,2.9,2.62,1.75,1.95,1.9,1.8,1.8,2,0,1.9,1.95,0,1.9,2,0,R. Rosetti,5,13,3,9,19,18,2,4,0,0,1,0,3.5,3,2,3.9,3.15,1.9,4.1,3.15,1.85,3.6,2.8
I1,01-09-2003,Ancona,Milan,0,2,A,0,1,A,5,3.1,1.727,5.25,3.2,1.67,4.2,3.2,1.7,4.5,3.25,1.667,5,3.2,1.67,5,3.2,1.66,4.5,3.1,1.72,1.79,1.9,1.83,1.83,1.7,2.1,1,2,1.85,0.75,2,1.9,0.75,C. Brighi,10,9,6,6,21,19,4,4,2,2,1,0,2.2,3,3.1,2.2,2.9,3.3,2.2,3,3.15,2.1,2.8
I1,13-09-2003,Milan,Bologna,2,1,H,1,1,D,1.33,4.33,8.5,1.36,4,8.5,1.35,3.8,7.5,1.364,3.75,8,1.36,4,7.5,1.36,4,7.5,1.36,3.75,8,1.75,1.95,1.8,1.9,2,1.8,-1.25,2,1.85,-1.25,1.8,2.1,-1,A. De Marco,12,8,8,4,20,12,6,5,2,1,0,0,1.57,3.25,6,1.6,3.4,5.5,1.57,3.4,5.75,1.55,3.4
I1,13-09-2003,Sampdoria,Lazio,1,2,A,0,1,A,3.1,3,2.25,3,3,2.3,3.1,2.8,2.2,2.875,3,2.25,3,3,2.25,3,3,2.25,2.8,2.9,2.37,1.9,1.79,2,1.72,1.8,2,0.25,1.85,2,0.25,1.9,2,0.25,S. Farina,21,7,11,3,7,16,3,4,1,2,0,0,1.2,5,12,1.16,6.4,12.5,1.18,5.5,14,1.22,4.8
I1,14-09-2003,Chievo,Juventus,1,2,A,1,1,D,4,3.25,1.83,4.2,3.1,1.85,3.6,3,1.9,4,3,1.833,4,3.25,1.8,4,3.1,1.85,4,2.87,1.9,1.75,1.95,1.83,1.83,1.95,1.85,0.5,2,1.85,0.5,1.975,1.925,0.5,G. Paparesta,24,15,13,6,15,14,9,6,2,1,0,0,3.5,3,2,3.65,3.05,2,3.8,3,2,3.4,2.9
I1,14-09-2003,Empoli,Reggina,1,1,D,1,1,D,2,3,3.75,2.05,2.9,3.7,1.9,2.8,4,2.1,3,3.2,2,3,3.5,2,3,3.5,2,2.87,3.6,2.05,1.65,2,1.72,2.05,1.77,-0.5,2.1,1.75,-0.5,2.05,1.85,-0.5,P. Bertini,9,6,3,3,12,16,6,6,2,2,1,0,2.25,3,3,2.15,2.9,3.45,2.2,3,3.2,2.2,2.8
I1,14-09-2003,Lecce,Ancona,3,1,H,1,0,H,1.8,3.2,4.33,1.85,3,4.35,1.8,2.9,4.2,1.8,3,4.333,1.83,3,4.33,1.83,2.9,4.33,1.9,2.87,4,2.05,1.65,2,1.72,1.85,1.95,-0.5,1.75,2.1,-0.5,1.875,2.025,-0.5,O. Girardi,12,5,8,2,16,15,9,2,1,1,0,0,2.2,2.87,3.2,2.25,2.75,3.45,2.2,2.8,3.45,2.1,2.8
I1,14-09-2003,Modena,Udinese,0,1,A,0,0,D,2.4,3.1,2.75,2.5,2.85,2.85,2.4,2.8,2.8,2.375,3,2.75,2.5,3,2.62,2.5,3,2.6,2.37,3,2.7,2,1.71,2.1,1.66,1.77,2.05,0,1.75,2.1,0,1.875,2.025,-0.5,A. Dattilo,9,13,1,8,16,23,3,6,1,0,0,0,5.5,3.75,1.5,6.75,3.75,1.45,7,3.75,1.45,5.2,3.3
I1,14-09-2003,Parma,Perugia,3,0,H,1,0,H,1.66,3.4,5,1.65,3.25,5.3,1.6,3.2,5,1.533,3.25,6,1.67,3.2,5,1.66,3.2,5,1.53,3.25,6,1.85,1.85,1.8,1.9,1.85,1.95,-0.75,1.85,2,-0.75,1.825,2.075,-0.75,A. Romeo,9,6,6,4,18,9,9,2,2,3,0,1,1.72,3.2,4.5,1.75,3.1,4.9,1.67,3.15,5.4,1.8,2.9
I1,14-09-2003,Roma,Brescia,5,0,H,3,0,H,1.4,3.75,8.5,1.4,3.8,8,1.4,3.7,6.5,1.4,3.5,8,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8,1.71,2,1.8,1.9,1.9,1.9,-1.25,1.9,1.95,-1.25,2,1.9,-1.25,P. Rodomonti,8,12,4,7,19,20,7,7,3,3,0,0,2.5,2.87,2.75,2.7,2.8,2.7,2.65,2.9,2.65,2.4,2.8
I1,14-09-2003,Siena,Inter,0,1,A,0,1,A,4.33,3.2,1.8,4.5,3.1,1.8,4,3,1.8,4.333,3.2,1.727,4.33,3,1.8,4.2,3.1,1.8,5,2.9,1.72,1.85,1.85,1.83,1.83,2,1.8,0.5,1.95,1.9,0.5,2.025,1.875,0.5,D. Messina,13,10,4,5,15,20,7,4,0,4,0,0,1.83,3,4.33,1.77,3.2,4.5,1.8,3.2,4.25,1.75,3
I1,20-09-2003,Ancona,Modena,1,1,D,0,0,D,2.2,3,3.2,2.2,2.9,3.2,2.2,2.8,3.1,2.1,3,3.2,2.2,2.88,3.2,2.2,2.87,3.2,2.1,2.87,3.3,2.05,1.65,2,1.72,2,1.8,-0.25,,,,2.025,1.875,-0.25,L. Palanca,16,11,7,7,22,24,5,5,1,3,0,1,1.53,3.5,5.5,1.5,3.6,6.5,1.45,3.6,7.5,1.55,3.3
I1,20-09-2003,Siena,Empoli,4,0,H,2,0,H,2.1,3,3.5,2,2.95,3.65,2,2.9,3.4,2,3,3.4,2,3,3.5,2,3,3.5,2.1,2.75,3.5,2.05,1.65,2,1.72,1.75,2.05,-0.25,2.05,1.8,-0.5,2.1,1.8,-0.5,M. Saccani,4,7,2,4,14,19,3,6,3,2,0,0,2.5,2.87,2.75,2.5,2.8,2.9,2.55,2.85,2.8,2.4,2.8
I1,21-09-2003,Bologna,Udinese,2,0,H,0,0,D,2.1,3,3.5,2.1,2.95,3.35,2.1,2.8,3.3,2.1,3,3.2,2,3,3.5,2,3,3.5,2,2.87,3.6,1.85,1.85,2,1.72,1.85,1.95,-0.25,1.85,2,-0.25,1.9,2,-0.25,T. Pieri,12,7,8,5,16,19,5,3,1,1,0,0,1.22,5.5,13,1.2,5.2,14,1.2,5.2,13,1.22,4.8
I1,21-09-2003,Brescia,Reggina,4,4,D,1,2,A,1.9,3.1,4,1.95,3,3.75,1.9,2.9,3.8,1.833,3,4,1.83,3.1,4,1.83,3.1,4,1.83,3,4,2,1.71,1.9,1.8,1.9,1.9,-0.5,1.95,1.9,-0.5,2.1,1.8,-0.5,M. Bergonzi,27,16,12,3,22,19,10,7,1,0,0,0,1.8,3.1,5,1.75,3.15,4.7,1.75,3.1,4.75,1.85,2.8
I1,21-09-2003,Inter,Sampdoria,0,0,D,0,0,D,1.4,4,7.5,1.4,3.75,7.6,1.35,4,7,1.364,3.6,9,1.33,4,8.5,1.33,4.2,8,1.33,4,8,1.65,2.05,1.8,1.9,2.15,1.7,-1.5,1.85,2,-1.25,1.9,2,-1.25,A. Giannoccaro,16,8,8,5,20,25,8,4,1,4,0,0,2.1,2.9,3.8,2.25,2.85,3.25,2.15,2.9,3.4,2.1,2.8
I1,21-09-2003,Juventus,Roma,2,2,D,2,1,H,1.9,3.1,4,1.85,3.1,4,1.9,2.9,3.8,1.8,3.2,4,1.8,3.1,4.2,1.8,3.1,4.2,,,,1.75,1.95,1.9,1.8,2.15,1.7,-0.75,1.95,1.9,-0.5,2,1.9,-0.5,P. Dondarini,11,14,6,9,24,21,4,3,0,3,0,0,2.2,3,3.4,2.25,2.9,3.25,2.2,2.9,3.3,2.2,2.7
I1,21-09-2003,Lazio,Parma,2,3,A,1,1,D,1.72,3.1,5,1.7,3.15,4.85,1.7,3.1,4.4,1.667,3.25,4.5,1.73,3.2,4.5,1.72,3.2,4.5,1.72,3.2,4.33,1.71,2,1.8,1.9,2,1.8,-0.75,1.8,2.05,-0.5,1.85,2.05,-0.5,P. Tagliavento,17,12,7,5,18,16,8,6,2,2,0,0,1.16,6.5,15,1.11,7.15,17,1.13,6.5,17,1.17,5.5
I1,21-09-2003,Lecce,Chievo,1,2,A,0,0,D,2.37,3,2.87,2.37,2.95,2.85,2.3,2.8,2.9,2.375,3,2.75,2.38,3,2.75,2.4,3,2.75,2.4,2.9,2.75,1.9,1.79,1.9,1.8,2.05,1.75,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,P. Mazzoleni,13,5,6,1,23,23,7,1,0,0,0,1,1.61,3.4,6,1.65,3.15,5.75,1.57,3.25,6.5,1.6,3.3
I1,21-09-2003,Perugia,Milan,1,1,D,1,1,D,4,3.1,1.9,4,3.1,1.85,3.4,2.9,2,3.75,3,1.909,3.75,3.1,1.91,3.75,3.1,1.9,4,3.1,1.8,1.85,1.85,1.9,1.8,1.7,2.15,0.75,1.9,1.95,0.5,1.95,1.95,0.5,M. Trefoloni,6,8,4,5,17,13,5,3,2,2,0,0,3.4,3,2.2,3.1,3.1,2.2,3.2,3.1,2.15,2.8,2.9
I1,27-09-2003,Reggina,Juventus,0,2,A,0,1,A,4.5,3.2,1.72,4.5,3.15,1.75,4,3.2,1.75,4.333,3.2,1.727,4.5,3.5,1.67,4.5,3.2,1.72,4.5,3.1,1.72,1.75,1.95,1.83,1.83,2.08,1.75,0.5,2.05,1.8,0.5,2.05,1.85,0.5,S. Racalbuto,16,8,8,5,11,12,5,3,3,2,0,1,2.37,2.87,3.25,2.3,2.85,3.15,2.3,2.8,3.25,2.3,2.7
I1,27-09-2003,Udinese,Inter,0,0,D,0,0,D,3.25,3,2.1,3.2,3.1,2.1,2.8,2.9,2.3,3,3,2.2,3.25,3,2.1,3.25,3,2.1,3.4,3,2,1.79,1.85,1.83,1.83,1.9,1.9,0.25,1.95,1.9,0.25,1.975,1.925,0.25,P. Bertini,7,12,4,5,20,16,4,7,3,1,0,0,4.5,3.2,1.83,4.2,3.15,1.83,4.4,3.1,1.8,4.2,2.8
I1,28-09-2003,Chievo,Perugia,4,1,H,1,0,H,1.8,3,4.33,1.8,3,4.5,1.8,3,4,1.667,3.25,4.5,1.8,3,4.33,1.83,3,4.2,1.8,3.1,4,1.71,2,1.8,1.9,2.3,1.55,-1,1.75,2.1,-0.5,1.85,2.05,-0.5,G. Rocchi,10,14,3,10,13,15,4,6,3,2,0,0,2.6,2.87,2.6,2.75,2.85,2.6,2.75,2.9,2.55,2.7,2.7
I1,28-09-2003,Empoli,Lazio,2,2,D,0,1,A,4.5,3.2,1.72,4.75,3.2,1.7,4.2,3.2,1.7,4,3.2,1.8,4.5,3,1.8,4.5,3,1.8,4.5,3.1,1.72,1.71,2,1.8,1.9,1.8,2,0.75,1.85,2,0.75,2.1,1.8,0.5,N. Stefanini,7,8,2,4,28,19,3,3,1,2,0,0,2.3,2.9,3.25,2.45,2.9,2.9,2.4,2.85,3,2.4,2.7
I1,28-09-2003,Milan,Lecce,3,0,H,1,0,H,1.22,5,10,1.22,5,11,1.25,4.5,9,1.222,5,10,1.22,5,10,1.22,5,10,1.2,5,11,1.5,2.35,1.72,2,1.9,1.9,-1.5,2,1.85,-1.5,1.95,1.95,-1.5,E. Morganti,6,17,2,10,22,18,1,7,2,2,0,0,5.5,3.1,1.72,4.9,3.25,1.7,5,3.2,1.7,4.2,3.1
I1,28-09-2003,Modena,Bologna,2,0,H,2,0,H,2.4,2.9,2.8,2.5,2.95,2.7,2.5,2.8,2.7,2.375,3,2.75,2.5,2.88,2.75,2.5,2.87,2.75,2.37,2.9,2.8,2,1.71,1.9,1.8,1.8,2,0,1.75,2.1,0,1.8,2.1,0,N. Rizzoli,8,9,4,5,22,16,8,5,3,2,0,0,2.3,2.9,3.3,2.35,2.9,3,2.3,2.9,3.1,2.3,2.7
I1,28-09-2003,Parma,Siena,1,1,D,0,1,A,1.5,3.4,6.5,1.51,3.3,6.75,1.45,3.8,5.4,1.4,3.75,7,1.44,3.5,7,1.44,3.6,7,1.44,3.5,7,1.65,2.05,1.8,1.9,1.9,1.9,-1,1.85,2,-1,1.925,1.975,-1,M. De Santis,10,14,4,9,18,16,2,6,3,1,1,0,3.75,3,2.1,3.75,3,2,3.3,3,2.15,2.8,2.8
I1,28-09-2003,Roma,Ancona,3,0,H,0,0,D,1.16,5.5,13,1.2,5,13,1.2,5,10,1.2,5,11,1.17,5.5,13,1.16,5.5,13,1.16,5.5,12,1.4,2.65,1.66,2.1,1.8,2,-1.75,1.9,1.95,-2,1.775,2.125,-1.75,R. Rosetti,10,5,7,3,16,13,7,1,1,0,0,0,2.2,2.87,3.6,2.2,2.8,3.45,2.15,2.9,3.4,2.2,2.7
I1,28-09-2003,Sampdoria,Brescia,2,1,H,0,0,D,1.8,3,4.33,1.77,3.05,4.6,1.9,3,3.6,1.833,3.2,3.75,1.8,3,4.33,1.8,3.1,4.2,1.83,3,4,1.95,1.75,1.9,1.8,1.78,2.03,-0.5,2.05,1.8,-0.75,1.8,2.1,-0.5,D. Messina,12,8,7,3,17,14,5,2,0,1,0,0,1.4,4,9,1.3,4.65,8.5,1.36,4,8.5,1.4,3.7
I1,05-10-2003,Ancona,Udinese,0,3,A,0,2,A,3,3,2.25,3.1,3,2.25,3,2.9,2.2,2.8,2.875,2.375,3,2.88,2.3,3,2.87,2.3,2.7,3,2.37,2,1.71,2,1.72,1.9,1.9,0.25,1.9,1.95,0.25,1.95,1.95,0.25,P. Rodomonti,16,8,10,3,17,19,10,5,2,4,0,0,1.44,3.8,7,1.4,3.75,8.25,1.45,3.6,7.25,1.4,3.7
I1,05-10-2003,Empoli,Modena,0,3,A,0,0,D,2.1,3,3.25,2.15,3,3.3,2.1,2.8,3.3,2.1,3,3.2,2.1,2.88,3.4,2.1,2.87,3.4,2.1,2.87,3.3,2.15,1.6,2,1.72,1.9,1.9,-0.25,1.9,1.95,-0.25,1.85,2.05,-0.25,D. Tombolini,18,8,12,2,17,14,7,6,2,3,0,0,1.57,3.6,6,1.55,3.4,6.25,1.55,3.4,6,1.6,3.3
