Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,11-09-2004,Chievo,Inter,2,2,D
I1,11-09-2004,Milan,Livorno,2,2,D
I1,12-09-2004,Atalanta,Lecce,2,2,D
I1,12-09-2004,Brescia,Juventus,0,3,A
I1,12-09-2004,Cagliari,Bologna,1,0,H
I1,12-09-2004,Palermo,Siena,1,0,H
I1,12-09-2004,Parma,Messina,0,0,D
I1,12-09-2004,Reggina,Udinese,0,0,D
I1,12-09-2004,Roma,Fiorentina,1,0,H
I1,12-09-2004,Sampdoria,Lazio,0,1,A
I1,18-09-2004,Inter,Palermo,1,1,D
I1,18-09-2004,Lecce,Brescia,4,1,H
I1,19-09-2004,Bologna,Milan,0,2,A
I1,19-09-2004,Fiorentina,Cagliari,2,1,H
I1,19-09-2004,Juventus,Atalanta,2,0,H
I1,19-09-2004,Lazio,Reggina,1,1,D
I1,19-09-2004,Livorno,Chievo,1,2,A
I1,19-09-2004,Messina,Roma,4,3,H
I1,19-09-2004,Siena,Sampdoria,2,1,H
I1,19-09-2004,Udinese,Parma,4,0,H
I1,22-09-2004,Atalanta,Inter,2,3,A
I1,22-09-2004,Brescia,Lazio,0,2,A
I1,22-09-2004,Cagliari,Siena,2,0,H
I1,22-09-2004,Chievo,Udinese,0,0,D
I1,22-09-2004,Milan,Messina,1,2,A
I1,22-09-2004,Palermo,Fiorentina,0,0,D
I1,22-09-2004,Parma,Bologna,1,2,A
I1,22-09-2004,Reggina,Livorno,2,1,H
I1,22-09-2004,Roma,Lecce,2,2,D
I1,22-09-2004,Sampdoria,Juventus,0,3,A
I1,25-09-2004,Bologna,Roma,3,1,H
I1,25-09-2004,Juventus,Palermo,1,1,D
I1,26-09-2004,Fiorentina,Sampdoria,0,2,A
I1,26-09-2004,Inter,Parma,2,2,D
I1,26-09-2004,Lazio,Milan,1,2,A
I1,26-09-2004,Lecce,Cagliari,3,1,H
I1,26-09-2004,Livorno,Atalanta,1,1,D
I1,26-09-2004,Messina,Chievo,0,0,D
I1,26-09-2004,Siena,Reggina,0,0,D
I1,26-09-2004,Udinese,Brescia,1,2,A
I1,02-10-2004,Cagliari,Brescia,2,1,H
I1,02-10-2004,Chievo,Lecce,2,1,H
I1,03-10-2004,Atalanta,Lazio,1,1,D
I1,03-10-2004,Messina,Siena,4,1,H
I1,03-10-2004,Milan,Reggina,3,1,H
I1,03-10-2004,Palermo,Bologna,1,0,H
I1,03-10-2004,Parma,Fiorentina,0,0,D
I1,03-10-2004,Roma,Inter,3,3,D
I1,03-10-2004,Sampdoria,Livorno,2,0,H
I1,03-10-2004,Udinese,Juventus,0,1,A
I1,16-10-2004,Juventus,Messina,2,1,H
I1,16-10-2004,Livorno,Roma,0,2,A
