Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,28-08-1999,Bologna,Torino,0,0,D
I1,29-08-1999,Fiorentina,Bari,1,0,H
I1,29-08-1999,Inter,Verona,3,0,H
I1,29-08-1999,Juventus,Reggina,1,1,D
I1,29-08-1999,Lecce,Milan,2,2,D
I1,29-08-1999,Perugia,Parma,1,1,D
I1,29-08-1999,Piacenza,Roma,1,1,D
I1,29-08-1999,Venezia,Udinese,1,1,D
I1,30-08-1999,Lazio,Cagliari,2,1,H
I1,11-09-1999,Bari,Lazio,0,0,D
I1,11-09-1999,Reggina,Fiorentina,2,2,D
I1,11-09-1999,Udinese,Piacenza,3,0,H
I1,12-09-1999,Cagliari,Juventus,0,1,A
I1,12-09-1999,Milan,Perugia,3,1,H
I1,12-09-1999,Parma,Bologna,1,1,D
I1,12-09-1999,Roma,Inter,0,0,D
I1,12-09-1999,Torino,Venezia,2,1,H
I1,12-09-1999,Verona,Lecce,2,0,H
I1,18-09-1999,Bari,Milan,1,1,D
I1,18-09-1999,Perugia,Cagliari,3,0,H
I1,19-09-1999,Bologna,Reggina,0,1,A
I1,19-09-1999,Fiorentina,Verona,4,1,H
I1,19-09-1999,Inter,Parma,5,1,H
I1,19-09-1999,Juventus,Udinese,4,1,H
I1,19-09-1999,Lazio,Torino,3,0,H
I1,19-09-1999,Piacenza,Lecce,1,1,D
I1,19-09-1999,Venezia,Roma,1,3,A
I1,25-09-1999,Lecce,Juventus,2,0,H
I1,25-09-1999,Milan,Bologna,4,0,H
I1,26-09-1999,Cagliari,Venezia,1,1,D
I1,26-09-1999,Parma,Lazio,1,2,A
I1,26-09-1999,Reggina,Piacenza,1,0,H
I1,26-09-1999,Roma,Perugia,3,1,H
I1,26-09-1999,Torino,Inter,0,1,A
I1,26-09-1999,Udinese,Fiorentina,1,1,D
I1,26-09-1999,Verona,Bari,0,1,A
I1,02-10-1999,Cagliari,Torino,1,1,D
I1,02-10-1999,Inter,Piacenza,2,1,H
